"Step","fragrant-sound-3542 - test_acc","fragrant-sound-3542 - test_acc__MIN","fragrant-sound-3542 - test_acc__MAX","winter-river-3540 - test_acc","winter-river-3540 - test_acc__MIN","winter-river-3540 - test_acc__MAX","polar-gorge-3538 - test_acc","polar-gorge-3538 - test_acc__MIN","polar-gorge-3538 - test_acc__MAX","feasible-night-3539 - test_acc","feasible-night-3539 - test_acc__MIN","feasible-night-3539 - test_acc__MAX","cosmic-mountain-3537 - test_acc","cosmic-mountain-3537 - test_acc__MIN","cosmic-mountain-3537 - test_acc__MAX","balmy-snow-3536 - test_acc","balmy-snow-3536 - test_acc__MIN","balmy-snow-3536 - test_acc__MAX","scarlet-hill-3535 - test_acc","scarlet-hill-3535 - test_acc__MIN","scarlet-hill-3535 - test_acc__MAX","magic-deluge-3534 - test_acc","magic-deluge-3534 - test_acc__MIN","magic-deluge-3534 - test_acc__MAX","youthful-lake-3533 - test_acc","youthful-lake-3533 - test_acc__MIN","youthful-lake-3533 - test_acc__MAX","stilted-bee-3531 - test_acc","stilted-bee-3531 - test_acc__MIN","stilted-bee-3531 - test_acc__MAX","dashing-yogurt-3532 - test_acc","dashing-yogurt-3532 - test_acc__MIN","dashing-yogurt-3532 - test_acc__MAX","cool-sound-3529 - test_acc","cool-sound-3529 - test_acc__MIN","cool-sound-3529 - test_acc__MAX","revived-fog-3530 - test_acc","revived-fog-3530 - test_acc__MIN","revived-fog-3530 - test_acc__MAX","fresh-frost-3528 - test_acc","fresh-frost-3528 - test_acc__MIN","fresh-frost-3528 - test_acc__MAX","rural-night-3527 - test_acc","rural-night-3527 - test_acc__MIN","rural-night-3527 - test_acc__MAX","balmy-wildflower-3383 - test_acc","balmy-wildflower-3383 - test_acc__MIN","balmy-wildflower-3383 - test_acc__MAX","fallen-puddle-3377 - test_acc","fallen-puddle-3377 - test_acc__MIN","fallen-puddle-3377 - test_acc__MAX","celestial-dawn-3374 - test_acc","celestial-dawn-3374 - test_acc__MIN","celestial-dawn-3374 - test_acc__MAX","absurd-frost-3371 - test_acc","absurd-frost-3371 - test_acc__MIN","absurd-frost-3371 - test_acc__MAX"
"16","40.983604431152344","40.983604431152344","40.983604431152344","12.021857261657715","12.021857261657715","12.021857261657715","36.612022399902344","36.612022399902344","36.612022399902344","25.683059692382812","25.683059692382812","25.683059692382812","91.66667175292969","91.66667175292969","91.66667175292969","100","100","100","100","100","100","14.754098892211914","14.754098892211914","14.754098892211914","100","100","100","100","100","100","75","75","75","75","75","75","75","75","75","75","75","75","50","50","50","65.0767593383789","65.0767593383789","65.0767593383789","50","50","50","0","0","0","75","75","75"
"17","2.7322404384613037","2.7322404384613037","2.7322404384613037","20.218578338623047","20.218578338623047","20.218578338623047","29.508197784423828","29.508197784423828","29.508197784423828","79.23497009277344","79.23497009277344","79.23497009277344","87.5","87.5","87.5","100","100","100","100","100","100","46.44808578491211","46.44808578491211","46.44808578491211","100","100","100","100","100","100","75","75","75","75","75","75","75","75","75","75","75","75","75","75","75","66.502197265625","66.502197265625","66.502197265625","100","100","100","0","0","0","100","100","100"
"18","14.754098892211914","14.754098892211914","14.754098892211914","14.207649230957031","14.207649230957031","14.207649230957031","49.726776123046875","49.726776123046875","49.726776123046875","18.579235076904297","18.579235076904297","18.579235076904297","75","75","75","100","100","100","100","100","100","6.010928630828857","6.010928630828857","6.010928630828857","100","100","100","95.83333587646484","95.83333587646484","95.83333587646484","75","75","75","100","100","100","75","75","75","75","75","75","75","75","75","70.33991241455078","70.33991241455078","70.33991241455078","0","0","0","0","0","0","75","75","75"
"19","33.33333206176758","33.33333206176758","33.33333206176758","26.775955200195312","26.775955200195312","26.775955200195312","64.48087310791016","64.48087310791016","64.48087310791016","39.344261169433594","39.344261169433594","39.344261169433594","87.5","87.5","87.5","100","100","100","100","100","100","42.076499938964844","42.076499938964844","42.076499938964844","100","100","100","100","100","100","75","75","75","75","75","75","75","75","75","75","75","75","75","75","75","70.99781036376953","70.99781036376953","70.99781036376953","100","100","100","0","0","0","75","75","75"
"20","54.09836196899414","54.09836196899414","54.09836196899414","20.76502799987793","20.76502799987793","20.76502799987793","9.289617538452148","9.289617538452148","9.289617538452148","46.44808578491211","46.44808578491211","46.44808578491211","91.66667175292969","91.66667175292969","91.66667175292969","100","100","100","100","100","100","12.021857261657715","12.021857261657715","12.021857261657715","100","100","100","100","100","100","75","75","75","100","100","100","75","75","75","75","75","75","75","75","75","77.6864013671875","77.6864013671875","77.6864013671875","0","0","0","0","0","0","75","75","75"
"21","23.49726676940918","23.49726676940918","23.49726676940918","68.85245513916016","68.85245513916016","68.85245513916016","71.03825378417969","71.03825378417969","71.03825378417969","45.90163803100586","45.90163803100586","45.90163803100586","100","100","100","100","100","100","95.83333587646484","95.83333587646484","95.83333587646484","0","0","0","100","100","100","100","100","100","75","75","75","100","100","100","75","75","75","75","75","75","75","75","75","75.98684692382812","75.98684692382812","75.98684692382812","100","100","100","0","0","0","75","75","75"
"22","9.836065292358398","9.836065292358398","9.836065292358398","57.377044677734375","57.377044677734375","57.377044677734375","68.3060073852539","68.3060073852539","68.3060073852539","52.459014892578125","52.459014892578125","52.459014892578125","100","100","100","100","100","100","100","100","100","40.437156677246094","40.437156677246094","40.437156677246094","100","100","100","100","100","100","75","75","75","100","100","100","75","75","75","25","25","25","75","75","75","80.64693450927734","80.64693450927734","80.64693450927734","0","0","0","0","0","0","75","75","75"
"23","52.459014892578125","52.459014892578125","52.459014892578125","86.88524627685547","86.88524627685547","86.88524627685547","46.44808578491211","46.44808578491211","46.44808578491211","12.568305015563965","12.568305015563965","12.568305015563965","95.83333587646484","95.83333587646484","95.83333587646484","100","100","100","100","100","100","16.939889907836914","16.939889907836914","16.939889907836914","100","100","100","100","100","100","75","75","75","100","100","100","75","75","75","75","75","75","75","75","75","78.94737243652344","78.94737243652344","78.94737243652344","75","75","75","0","0","0","75","75","75"
"24","49.726776123046875","49.726776123046875","49.726776123046875","8.196721076965332","8.196721076965332","8.196721076965332","9.836065292358398","9.836065292358398","9.836065292358398","45.35519027709961","45.35519027709961","45.35519027709961","95.83333587646484","95.83333587646484","95.83333587646484","100","100","100","100","100","100","25.13661003112793","25.13661003112793","25.13661003112793","100","100","100","100","100","100","75","75","75","100","100","100","75","75","75","75","75","75","75","75","75","83.22368621826172","83.22368621826172","83.22368621826172","0","0","0","0","0","0","75","75","75"
"25","31.147539138793945","31.147539138793945","31.147539138793945","15.846994400024414","15.846994400024414","15.846994400024414","56.28415298461914","56.28415298461914","56.28415298461914","57.377044677734375","57.377044677734375","57.377044677734375","95.83333587646484","95.83333587646484","95.83333587646484","100","100","100","100","100","100","2.7322404384613037","2.7322404384613037","2.7322404384613037","100","100","100","100","100","100","75","75","75","100","100","100","75","75","75","75","75","75","75","75","75","73.35526275634766","73.35526275634766","73.35526275634766","100","100","100","0","0","0","75","75","75"
"26","15.846994400024414","15.846994400024414","15.846994400024414","8.196721076965332","8.196721076965332","8.196721076965332","48.08742904663086","48.08742904663086","48.08742904663086","19.125682830810547","19.125682830810547","19.125682830810547","91.66667175292969","91.66667175292969","91.66667175292969","100","100","100","100","100","100","1.0928961038589478","1.0928961038589478","1.0928961038589478","95.83333587646484","95.83333587646484","95.83333587646484","100","100","100","75","75","75","100","100","100","75","75","75","75","75","75","75","75","75","80.26315307617188","80.26315307617188","80.26315307617188","100","100","100","0","0","0","75","75","75"
"27","3.825136661529541","3.825136661529541","3.825136661529541","27.868852615356445","27.868852615356445","27.868852615356445","7.103824615478516","7.103824615478516","7.103824615478516","27.322402954101562","27.322402954101562","27.322402954101562","91.66667175292969","91.66667175292969","91.66667175292969","100","100","100","100","100","100","28.415298461914062","28.415298461914062","28.415298461914062","91.66667175292969","91.66667175292969","91.66667175292969","100","100","100","75","75","75","100","100","100","75","75","75","75","75","75","75","75","75","79.11184692382812","79.11184692382812","79.11184692382812","100","100","100","0","0","0","75","75","75"
"28","30.054643630981445","30.054643630981445","30.054643630981445","34.97267532348633","34.97267532348633","34.97267532348633","23.49726676940918","23.49726676940918","23.49726676940918","30.054643630981445","30.054643630981445","30.054643630981445","91.66667175292969","91.66667175292969","91.66667175292969","100","100","100","100","100","100","14.207649230957031","14.207649230957031","14.207649230957031","95.83333587646484","95.83333587646484","95.83333587646484","100","100","100","75","75","75","100","100","100","75","75","75","75","75","75","75","75","75","81.7982406616211","81.7982406616211","81.7982406616211","50","50","50","0","0","0","75","75","75"
"29","31.693988800048828","31.693988800048828","31.693988800048828","46.99453353881836","46.99453353881836","46.99453353881836","39.344261169433594","39.344261169433594","39.344261169433594","20.76502799987793","20.76502799987793","20.76502799987793","87.5","87.5","87.5","100","100","100","100","100","100","25.683059692382812","25.683059692382812","25.683059692382812","100","100","100","100","100","100","75","75","75","100","100","100","75","75","75","75","75","75","75","75","75","81.85306549072266","81.85306549072266","81.85306549072266","100","100","100","0","0","0","75","75","75"
"30","60.10928726196289","60.10928726196289","60.10928726196289","15.300546646118164","15.300546646118164","15.300546646118164","15.300546646118164","15.300546646118164","15.300546646118164","45.90163803100586","45.90163803100586","45.90163803100586","87.5","87.5","87.5","95.83333587646484","95.83333587646484","95.83333587646484","100","100","100","46.44808578491211","46.44808578491211","46.44808578491211","95.83333587646484","95.83333587646484","95.83333587646484","100","100","100","75","75","75","100","100","100","75","75","75","75","75","75","75","75","75","70.72368621826172","70.72368621826172","70.72368621826172","100","100","100","0","0","0","75","75","75"
"31","4.918032646179199","4.918032646179199","4.918032646179199","8.196721076965332","8.196721076965332","8.196721076965332","24.59016227722168","24.59016227722168","24.59016227722168","13.661201477050781","13.661201477050781","13.661201477050781","91.66667175292969","91.66667175292969","91.66667175292969","100","100","100","100","100","100","27.868852615356445","27.868852615356445","27.868852615356445","91.66667175292969","91.66667175292969","91.66667175292969","87.5","87.5","87.5","75","75","75","100","100","100","75","75","75","75","75","75","75","75","75","79.5504379272461","79.5504379272461","79.5504379272461","100","100","100","0","0","0","75","75","75"
"32","10.928961753845215","10.928961753845215","10.928961753845215","26.775955200195312","26.775955200195312","26.775955200195312","36.612022399902344","36.612022399902344","36.612022399902344","57.377044677734375","57.377044677734375","57.377044677734375","95.83333587646484","95.83333587646484","95.83333587646484","100","100","100","100","100","100","4.371584415435791","4.371584415435791","4.371584415435791","95.83333587646484","95.83333587646484","95.83333587646484","83.33333587646484","83.33333587646484","83.33333587646484","75","75","75","100","100","100","75","75","75","75","75","75","75","75","75","79.49561309814453","79.49561309814453","79.49561309814453","100","100","100","0","0","0","75","75","75"
"33","14.754098892211914","14.754098892211914","14.754098892211914","31.147539138793945","31.147539138793945","31.147539138793945","53.005462646484375","53.005462646484375","53.005462646484375","12.021857261657715","12.021857261657715","12.021857261657715","91.66667175292969","91.66667175292969","91.66667175292969","100","100","100","95.83333587646484","95.83333587646484","95.83333587646484","0.5464480519294739","0.5464480519294739","0.5464480519294739","100","100","100","95.83333587646484","95.83333587646484","95.83333587646484","75","75","75","100","100","100","75","75","75","75","75","75","75","75","75","81.46929931640625","81.46929931640625","81.46929931640625","75","75","75","25","25","25","75","75","75"
"34","23.49726676940918","23.49726676940918","23.49726676940918","48.633880615234375","48.633880615234375","48.633880615234375","43.71584701538086","43.71584701538086","43.71584701538086","31.693988800048828","31.693988800048828","31.693988800048828","87.5","87.5","87.5","100","100","100","95.83333587646484","95.83333587646484","95.83333587646484","62.29507827758789","62.29507827758789","62.29507827758789","100","100","100","95.83333587646484","95.83333587646484","95.83333587646484","75","75","75","100","100","100","75","75","75","75","75","75","75","75","75","80.97587585449219","80.97587585449219","80.97587585449219","75","75","75","50","50","50","75","75","75"
"35","17.486337661743164","17.486337661743164","17.486337661743164","20.218578338623047","20.218578338623047","20.218578338623047","63.93442153930664","63.93442153930664","63.93442153930664","12.568305015563965","12.568305015563965","12.568305015563965","83.33333587646484","83.33333587646484","83.33333587646484","100","100","100","87.5","87.5","87.5","28.415298461914062","28.415298461914062","28.415298461914062","100","100","100","100","100","100","75","75","75","100","100","100","75","75","75","75","75","75","75","75","75","74.34210968017578","74.34210968017578","74.34210968017578","100","100","100","0","0","0","75","75","75"
"36","18.579235076904297","18.579235076904297","18.579235076904297","3.278688430786133","3.278688430786133","3.278688430786133","33.87977981567383","33.87977981567383","33.87977981567383","45.90163803100586","45.90163803100586","45.90163803100586","83.33333587646484","83.33333587646484","83.33333587646484","100","100","100","95.83333587646484","95.83333587646484","95.83333587646484","1.6393442153930664","1.6393442153930664","1.6393442153930664","100","100","100","100","100","100","75","75","75","100","100","100","75","75","75","75","75","75","75","75","75","77.13815307617188","77.13815307617188","77.13815307617188","100","100","100","0","0","0","50","50","50"
"37","33.33333206176758","33.33333206176758","33.33333206176758","12.568305015563965","12.568305015563965","12.568305015563965","15.300546646118164","15.300546646118164","15.300546646118164","36.06557083129883","36.06557083129883","36.06557083129883","91.66667175292969","91.66667175292969","91.66667175292969","100","100","100","100","100","100","7.103824615478516","7.103824615478516","7.103824615478516","100","100","100","100","100","100","75","75","75","100","100","100","75","75","75","75","75","75","75","75","75","72.14912414550781","72.14912414550781","72.14912414550781","50","50","50","0","0","0","75","75","75"
"38","67.2131118774414","67.2131118774414","67.2131118774414","31.693988800048828","31.693988800048828","31.693988800048828","77.59562683105469","77.59562683105469","77.59562683105469","14.207649230957031","14.207649230957031","14.207649230957031","91.66667175292969","91.66667175292969","91.66667175292969","100","100","100","100","100","100","10.382513999938965","10.382513999938965","10.382513999938965","100","100","100","100","100","100","75","75","75","100","100","100","75","75","75","75","75","75","75","75","75","71.0526351928711","71.0526351928711","71.0526351928711","25","25","25","0","0","0","75","75","75"
"39","50.27322006225586","50.27322006225586","50.27322006225586","13.661201477050781","13.661201477050781","13.661201477050781","49.18032455444336","49.18032455444336","49.18032455444336","27.868852615356445","27.868852615356445","27.868852615356445","91.66667175292969","91.66667175292969","91.66667175292969","100","100","100","95.83333587646484","95.83333587646484","95.83333587646484","2.7322404384613037","2.7322404384613037","2.7322404384613037","100","100","100","100","100","100","75","75","75","100","100","100","75","75","75","75","75","75","75","75","75","78.83772277832031","78.83772277832031","78.83772277832031","100","100","100","0","0","0","75","75","75"
"40","50.27322006225586","50.27322006225586","50.27322006225586","12.568305015563965","12.568305015563965","12.568305015563965","72.67759704589844","72.67759704589844","72.67759704589844","54.09836196899414","54.09836196899414","54.09836196899414","100","100","100","100","100","100","95.83333587646484","95.83333587646484","95.83333587646484","60.655738830566406","60.655738830566406","60.655738830566406","100","100","100","100","100","100","100","100","100","100","100","100","75","75","75","75","75","75","75","75","75","78.78289794921875","78.78289794921875","78.78289794921875","100","100","100","0","0","0","100","100","100"
"41","15.300546646118164","15.300546646118164","15.300546646118164","46.44808578491211","46.44808578491211","46.44808578491211","83.06011199951172","83.06011199951172","83.06011199951172","62.29507827758789","62.29507827758789","62.29507827758789","100","100","100","100","100","100","95.83333587646484","95.83333587646484","95.83333587646484","2.7322404384613037","2.7322404384613037","2.7322404384613037","100","100","100","100","100","100","75","75","75","100","100","100","75","75","75","75","75","75","75","75","75","73.35526275634766","73.35526275634766","73.35526275634766","100","100","100","0","0","0","75","75","75"
"42","23.49726676940918","23.49726676940918","23.49726676940918","32.24043655395508","32.24043655395508","32.24043655395508","10.382513999938965","10.382513999938965","10.382513999938965","47.540985107421875","47.540985107421875","47.540985107421875","91.66667175292969","91.66667175292969","91.66667175292969","100","100","100","100","100","100","46.44808578491211","46.44808578491211","46.44808578491211","100","100","100","100","100","100","75","75","75","75","75","75","75","75","75","75","75","75","75","75","75","78.23464965820312","78.23464965820312","78.23464965820312","25","25","25","0","0","0","50","50","50"
"43","30.054643630981445","30.054643630981445","30.054643630981445","43.71584701538086","43.71584701538086","43.71584701538086","52.459014892578125","52.459014892578125","52.459014892578125","39.890708923339844","39.890708923339844","39.890708923339844","100","100","100","100","100","100","100","100","100","13.661201477050781","13.661201477050781","13.661201477050781","100","100","100","100","100","100","75","75","75","100","100","100","75","75","75","75","75","75","75","75","75","76.80921173095703","76.80921173095703","76.80921173095703","50","50","50","0","0","0","100","100","100"
"44","13.114753723144531","13.114753723144531","13.114753723144531","24.04371452331543","24.04371452331543","24.04371452331543","9.289617538452148","9.289617538452148","9.289617538452148","48.633880615234375","48.633880615234375","48.633880615234375","91.66667175292969","91.66667175292969","91.66667175292969","100","100","100","100","100","100","15.846994400024414","15.846994400024414","15.846994400024414","100","100","100","95.83333587646484","95.83333587646484","95.83333587646484","75","75","75","100","100","100","75","75","75","75","75","75","75","75","75","80.75658416748047","80.75658416748047","80.75658416748047","100","100","100","0","0","0","100","100","100"
"45","51.91256332397461","51.91256332397461","51.91256332397461","84.15299987792969","84.15299987792969","84.15299987792969","51.91256332397461","51.91256332397461","51.91256332397461","70.49180603027344","70.49180603027344","70.49180603027344","95.83333587646484","95.83333587646484","95.83333587646484","100","100","100","100","100","100","20.218578338623047","20.218578338623047","20.218578338623047","100","100","100","50","50","50","75","75","75","100","100","100","75","75","75","75","75","75","75","75","75","79.27631378173828","79.27631378173828","79.27631378173828","100","100","100","0","0","0","75","75","75"
"46","59.016395568847656","59.016395568847656","59.016395568847656","67.75955963134766","67.75955963134766","67.75955963134766","53.551910400390625","53.551910400390625","53.551910400390625","44.26229476928711","44.26229476928711","44.26229476928711","95.83333587646484","95.83333587646484","95.83333587646484","100","100","100","100","100","100","23.49726676940918","23.49726676940918","23.49726676940918","100","100","100","100","100","100","75","75","75","100","100","100","75","75","75","75","75","75","75","75","75","69.68202209472656","69.68202209472656","69.68202209472656","100","100","100","0","0","0","75","75","75"
"47","18.032785415649414","18.032785415649414","18.032785415649414","32.78688430786133","32.78688430786133","32.78688430786133","9.289617538452148","9.289617538452148","9.289617538452148","59.016395568847656","59.016395568847656","59.016395568847656","100","100","100","100","100","100","95.83333587646484","95.83333587646484","95.83333587646484","19.672130584716797","19.672130584716797","19.672130584716797","100","100","100","70.83333587646484","70.83333587646484","70.83333587646484","75","75","75","100","100","100","75","75","75","75","75","75","75","75","75","81.14035034179688","81.14035034179688","81.14035034179688","100","100","100","0","0","0","100","100","100"
"48","39.890708923339844","39.890708923339844","39.890708923339844","62.29507827758789","62.29507827758789","62.29507827758789","77.59562683105469","77.59562683105469","77.59562683105469","65.57376861572266","65.57376861572266","65.57376861572266","95.83333587646484","95.83333587646484","95.83333587646484","100","100","100","95.83333587646484","95.83333587646484","95.83333587646484","16.393442153930664","16.393442153930664","16.393442153930664","100","100","100","91.66667175292969","91.66667175292969","91.66667175292969","75","75","75","100","100","100","75","75","75","75","75","75","75","75","75","78.83772277832031","78.83772277832031","78.83772277832031","100","100","100","0","0","0","100","100","100"
"49","61.74863052368164","61.74863052368164","61.74863052368164","36.612022399902344","36.612022399902344","36.612022399902344","26.775955200195312","26.775955200195312","26.775955200195312","74.31694030761719","74.31694030761719","74.31694030761719","100","100","100","100","100","100","95.83333587646484","95.83333587646484","95.83333587646484","12.568305015563965","12.568305015563965","12.568305015563965","100","100","100","100","100","100","75","75","75","100","100","100","75","75","75","75","75","75","75","75","75","75.877197265625","75.877197265625","75.877197265625","100","100","100","0","0","0","100","100","100"
"50","31.147539138793945","31.147539138793945","31.147539138793945","14.754098892211914","14.754098892211914","14.754098892211914","36.612022399902344","36.612022399902344","36.612022399902344","62.841529846191406","62.841529846191406","62.841529846191406","100","100","100","100","100","100","100","100","100","25.13661003112793","25.13661003112793","25.13661003112793","100","100","100","100","100","100","75","75","75","100","100","100","75","75","75","75","75","75","75","75","75","79.11184692382812","79.11184692382812","79.11184692382812","100","100","100","0","0","0","75","75","75"
"51","63.93442153930664","63.93442153930664","63.93442153930664","6.010928630828857","6.010928630828857","6.010928630828857","83.06011199951172","83.06011199951172","83.06011199951172","24.04371452331543","24.04371452331543","24.04371452331543","95.83333587646484","95.83333587646484","95.83333587646484","100","100","100","100","100","100","27.868852615356445","27.868852615356445","27.868852615356445","100","100","100","95.83333587646484","95.83333587646484","95.83333587646484","75","75","75","100","100","100","75","75","75","75","75","75","75","75","75","81.35964965820312","81.35964965820312","81.35964965820312","100","100","100","0","0","0","100","100","100"
