"Step","sandy-bird-1715 - test_acc","sandy-bird-1715 - test_acc__MIN","sandy-bird-1715 - test_acc__MAX","fiery-night-1715 - test_acc","fiery-night-1715 - test_acc__MIN","fiery-night-1715 - test_acc__MAX","sleek-feather-1712 - test_acc","sleek-feather-1712 - test_acc__MIN","sleek-feather-1712 - test_acc__MAX","generous-dust-1712 - test_acc","generous-dust-1712 - test_acc__MIN","generous-dust-1712 - test_acc__MAX","usual-universe-1714 - test_acc","usual-universe-1714 - test_acc__MIN","usual-universe-1714 - test_acc__MAX","desert-cloud-1710 - test_acc","desert-cloud-1710 - test_acc__MIN","desert-cloud-1710 - test_acc__MAX","swept-bird-1709 - test_acc","swept-bird-1709 - test_acc__MIN","swept-bird-1709 - test_acc__MAX","wild-totem-1710 - test_acc","wild-totem-1710 - test_acc__MIN","wild-totem-1710 - test_acc__MAX","misunderstood-blaze-1708 - test_acc","misunderstood-blaze-1708 - test_acc__MIN","misunderstood-blaze-1708 - test_acc__MAX","crisp-brook-1707 - test_acc","crisp-brook-1707 - test_acc__MIN","crisp-brook-1707 - test_acc__MAX","dry-sponge-1706 - test_acc","dry-sponge-1706 - test_acc__MIN","dry-sponge-1706 - test_acc__MAX","sunny-vortex-1704 - test_acc","sunny-vortex-1704 - test_acc__MIN","sunny-vortex-1704 - test_acc__MAX","restful-puddle-1704 - test_acc","restful-puddle-1704 - test_acc__MIN","restful-puddle-1704 - test_acc__MAX","clear-night-1702 - test_acc","clear-night-1702 - test_acc__MIN","clear-night-1702 - test_acc__MAX","ruby-cosmos-1703 - test_acc","ruby-cosmos-1703 - test_acc__MIN","ruby-cosmos-1703 - test_acc__MAX"
"45","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"46","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","36.78458023071289","36.78458023071289","36.78458023071289","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"47","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"48","100","100","100","86.669921875","86.669921875","86.669921875","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"49","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"50","100","100","100","100","100","100","72.31702041625977","72.31702041625977","72.31702041625977","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","0","0","0","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"51","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"52","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"53","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"54","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
